postcode,lat,lng,district
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
050004,1.281804,103.842975,01
051335,1.282612,103.842892,01
052335,1.282612,103.842892,01
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
080003,1.277188,103.838668,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
081001,1.277421,103.8400039,02
082001,1.27573,103.842833,02
082001,1.27573,103.842833,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
085101,1.277898,103.840963,02
089054,1.272294,103.842686,02
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
090001,1.279398,103.817786,04
091014,1.2778799,103.820781,04
091014,1.2778799,103.820781,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
100044,1.271305,103.810491,04
